Country;exe_part4510;exe_part8110;fed_unit4510;fed_unit8110;enpp4510;enpp8110;minwin_one_part4510;minwin_one_part8110;exe_dom4510;exe_dom8110;disprop4510;disprop8110;inter_gr_plural4510;inter_gr_plural8110;federal4510;federal8110;bicam4510;bicam8110;const_rigid4510;const_rigid8110;judic_rev4510;judic_rev8110;cen_bank_indep4594;cen_bank_indep8194;gov_effectiv9609;regu_quality9609;rule_of_law9609;ctrl_corrupt9609;corrupt_perc10;gdp_growth8109;gdp_growth9109;consum_price8109;gdp_deflat8109;consum_price9109;gdp_deflat9109;unempl8109;unempl9109;budget_balanc0008;budget_balanc0307;heri_free0910;fras_free08;pol_stab9609;confl_risk9004;domes_conflict_weight8109;domes_conflict_weight9009;deaths_domes_terror8510;voice_account9609;eiu_democ0610;elec_plural0610;gov_funct0610;pol_part0610;pol_cult0610;civ_lib0610;women_parl_rep90;women_parl_rep10;women_cab_rep95;women_cab_rep08;gender_ineq08;10_10_ratio00;20_20_ratio00;gini_ineq00;turnout8110;non_mand_turnout8110;satis_democ9596;satis_democ0507;soc_expend05;mand_soc_expend05;envir_perform10;incarceration10;death_pen10;foreign_aid90;foreign_aid05;aid_vers_def05
JPN;0.60;0.71;0.17;0.15;3.62;3.66;40.1;14.1;3.37;2.46;7.00;10.50;1.48;1.38;2.0;2.0;3.0;3.0;4.0;4.0;2.0;2.0;0.25;0.25;1.22;0.95;1.31;1.18;7.8;1.854;694;933;205;341;-472;3.444;3.937;;;72.8;7.46;1.01;11.71;196;209;21;0.96;8.16;9.03;8.09;5.93;8.33;9.41;1.4;11.3;0.0;12;273;4.5;3.4;24.9;63.30;63.30;;37.0;19.8;20.3;72.5;59;2;0.31;0.28;28
KOR;-1.22;-1.29;-0.07;-0.10;2.85;2.85;86.0;86.0;8.00;8.00;21.97;21.97;2.90;2.90;1.5;1.5;1.0;1.0;4.0;4.0;3.0;3.0;0.27;0.27;0.94;0.71;0.88;0.45;5.4;;4.401;;;4.209;4.362;;3.498;2.0;1.2;69.8;7.28;0.23;10.46;;672;5;0.66;8.00;9.44;7.50;7.22;7.50;8.33;2.0;14.7;4.2;5;310;7.8;4.7;31.6;70.36;70.36;;29.5;8.0;8.6;57.0;98;1;;;
LUX;0.61;0.38;-0.88;-0.89;3.48;3.78;45.4;50.0;5.87;7.37;3.43;4.14;0.88;0.88;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;0.33;0.33;1.85;1.68;1.79;1.90;8.5;;;;;;;;;2.2;0.8;76.2;7.60;1.42;12.00;9;0;0;1.49;9.03;10.00;9.29;7.41;8.75;9.71;13.3;20.0;27.3;14;318;;;;88.54;;77;;22.0;22.1;67.8;139;0;0.21;0.82;
MAL;-0.83;-0.75;-0.33;-0.36;1.99;2.00;100.0;100.0;8.85;7.37;2.07;1.65;3.00;3.00;1.0;1.0;1.0;1.0;3.0;3.0;2.0;2.0;0.44;0.44;0.93;1.10;1.35;0.84;5.6;;;;;;;;;;-4.5;65.7;7.34;1.30;11.08;63;0;2;1.24;8.35;9.17;8.21;5.93;8.75;9.71;2.9;8.7;0.0;15;395;;;;94.95;94.95;;;;;76.3;140;0;;;
MAU;0.42;0.42;-0.13;-0.17;2.85;2.90;15.3;10.6;2.39;2.11;15.61;16.57;1.30;1.30;1.0;1.0;1.0;1.0;3.0;3.0;3.0;3.0;0.40;0.40;0.60;0.55;0.95;0.52;5.4;4.032;3.470;7.079;7.281;6.435;6.017;;7.461;;;76.2;7.82;0.87;;13;6;0;0.88;8.04;9.17;8.21;5.00;8.13;9.71;7.1;18.8;4.0;10;466;;;;82.04;82.04;;;;;80.6;166;0;;;
NET;1.34;1.17;0.30;0.28;4.87;4.86;26.8;39.7;2.91;2.68;1.21;1.08;0.98;1.00;3.0;3.0;3.0;3.0;3.0;3.0;1.0;1.0;0.48;0.48;1.89;1.71;1.72;2.08;8.8;1.722;1.743;2.398;2.124;2.276;2.269;;4.579;-0.3;-0.7;74.7;7.53;1.10;11.74;112;53;0;1.57;9.39;9.58;9.05;9.26;9.38;9.71;21.3;40.7;28.6;33;174;9.2;5.1;30.9;78.32;78.32;71;30.1;19.3;19.7;66.4;94;0;0.92;0.82;55
NOR;0.80;1.09;-0.66;-0.67;3.64;4.11;55.3;36.6;4.04;2.95;4.53;3.79;0.38;0.38;2.0;2.0;1.5;1.5;3.0;3.0;2.0;2.0;0.17;0.17;1.92;1.30;1.88;2.04;8.6;2.133;2.116;4.062;4.529;2.167;3.620;3.778;4.131;14.6;14.4;70.3;7.40;1.25;11.88;30;31;0;1.57;9.68;10.00;9.64;10.00;8.75;10.00;35.8;39.6;42.1;56;234;6.1;3.9;25.8;79.69;79.69;82;74.1;19.9;20.7;81.1;71;0;1.17;0.94;55
NZ;-0.47;-0.17;-1.67;-1.65;2.28;2.66;81.4;60.0;4.54;3.28;9.25;9.11;2.68;2.71;1.0;1.0;1.1;1.0;1.0;1.0;1.0;1.0;0.21;0.24;1.79;1.69;1.82;2.26;9.3;1.287;1.449;5.168;4.971;2.223;2.304;;6.367;;3.7;82.3;8.27;1.19;11.82;29;38;0;1.58;9.15;10.00;8.93;8.70;8.13;10.00;14.4;33.6;8.7;32;320;12.5;6.8;36.2;80.46;80.46;;;18.4;18.4;73.4;203;0;0.23;0.27;27
POR;0.22;0.04;-0.61;-0.63;3.13;2.85;53.4;55.4;3.26;3.69;4.43;4.85;2.62;2.62;1.0;1.0;1.0;1.0;3.0;3.0;2.0;2.0;0.32;0.32;1.11;1.13;1.16;1.22;6.0;2.047;1.459;8.453;8.753;3.792;4.166;6.453;6.197;-3.3;-3.6;64.0;7.10;1.01;11.16;73;22;0;1.32;8.08;9.58;7.97;5.93;7.50;9.41;7.6;27.4;12.5;13;310;15.0;8.0;38.5;74.90;74.90;40;;23.9;24.3;73.0;112;0;0.24;0.21;9
SPA;-0.62;-0.63;0.47;0.42;2.66;2.61;69.3;71.6;8.26;7.37;7.28;6.53;3.04;3.04;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;0.29;0.29;1.40;1.22;1.20;1.23;6.1;1.989;1.688;5.470;5.750;3.422;3.815;16.290;15.432;0.5;1.2;70.2;7.26;0.27;8.80;1672;1503;13;1.19;8.32;9.58;7.98;6.30;8.33;9.41;14.6;36.6;18.8;44;280;10.3;6.0;34.7;77.21;77.21;41;48.1;21.2;21.2;70.6;159;0;0.20;0.27;25
SWE;0.79;0.87;-1.03;-1.09;3.47;3.82;48.1;42.6;5.61;4.92;2.04;1.95;0.35;0.42;2.0;2.0;1.7;1.0;1.5;2.0;1.0;1.0;0.29;0.29;1.96;1.50;1.81;2.17;9.2;1.640;1.493;3.915;4.061;1.968;2.182;5.618;7.145;;;71.9;7.28;1.25;11.38;58;50;0;1.55;9.75;9.86;9.88;9.63;9.38;10.00;38.4;45.0;47.6;48;212;6.2;4.0;25.0;82.38;82.38;55;61.5;27.3;27.5;86.0;78;0;0.91;0.94;63
SWI;1.72;1.67;1.46;1.59;5.20;5.50;4.0;1.7;1.00;1.00;2.55;3.08;0.88;0.88;5.0;5.0;4.0;4.0;4.0;4.0;1.0;1.0;0.61;0.68;1.97;1.56;1.84;2.06;8.7;910;545;2.125;2.059;1.450;1.274;;3.465;0.4;-0.1;81.9;8.08;1.25;12.00;34;25;0;1.52;9.09;9.58;9.29;7.78;9.17;9.61;14.0;29.0;14.3;43;228;9.0;5.5;33.7;38.29;38.29;;61.3;;;89.1;79;0;0.32;0.44;44
TRI;-1.01;-0.79;-0.24;-0.34;1.87;1.88;94.3;90.7;6.95;4.21;11.33;11.67;3.00;3.00;1.3;1.5;2.0;2.0;3.0;3.0;2.0;2.0;0.35;0.30;0.30;0.68;0.09;0.11;3.6;1.615;4.209;7.752;5.752;6.001;5.523;13.934;12.308;;2.5;66.5;7.10;0.04;8.82;136;184;23;0.61;7.18;9.44;6.91;6.11;5.42;8.04;16.7;28.6;15.8;36;473;12.9;7.6;38.9;71.00;71.00;;32.1;;;54.2;276;2;;;
UK;-1.09;-1.48;-1.06;-1.12;2.16;2.27;97.3;99.8;8.12;9.83;11.70;16.00;3.02;3.08;1.2;1.4;2.5;2.5;1.0;1.0;1.0;1.0;0.31;0.28;1.76;1.69;1.65;1.90;7.6;1.960;1.642;4.119;4.032;2.821;2.743;;6.661;-2.1;-3.0;74.5;7.81;0.62;10.00;1998;1303;55;1.33;8.13;9.58;8.33;5.37;8.34;9.02;6.3;22.0;8.7;23;355;13.8;7.2;36.0;67.92;67.92;46;33.3;22.9;23.7;74.2;152;0;0.27;0.47;17
URU;0.39;0.31;-0.79;-0.84;4.40;4.40;80.3;80.3;4.00;4.00;6.05;6.05;1.70;1.70;1.0;1.0;3.0;3.0;1.0;1.0;2.5;2.5;0.19;0.19;0.51;0.46;0.57;0.94;6.9;;2.732;;;24.313;23.020;;11.198;-2.5;-2.1;70.0;6.93;0.77;8.80;;325;0;0.96;8.05;10.00;8.33;4.81;7.29;9.81;6.1;15.2;5.9;29;508;17.9;10.2;44.9;94.51;;52;60.9;;;59.1;261;0;;;
US;-0.67;-0.63;2.25;2.18;2.39;2.37;80.4;78.9;4.00;4.00;14.28;13.35;3.02;2.88;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;0.56;0.56;1.64;1.51;1.54;1.53;7.1;1.731;1.439;3.370;2.939;2.649;2.249;6.159;5.653;;-2.8;77.8;7.96;0.50;10.99;269;288;28;1.25;8.21;8.89;7.86;7.22;8.54;8.53;6.6;16.9;20.0;44;400;15.9;8.4;40.8;51.30;51.30;;35.5;18.4;18.8;63.5;743;2;0.21;0.22;5
